id,applicant,run,source,decision,reason,income,debts,credit_score,employment_years,rent,loan_amount,pay_slips_verified,bank_statements_verified,id_verified,dti_ratio,disposable_income,bureau_score_1,bureau_score_2,bureau_score_3
1,Applicant 1,run_0,GPT,APPROVED,"The applicant meets all policy requirements for approval. The DTI ratio is 10.49%, which is well below the 35% threshold for strong repayment capacity. The disposable income is £2,722, indicating financial resilience. The credit score of 661 falls within the range that requires manual review, but the applicant's strong affordability metrics and stable employment history of 4.5 years support approval. All documentation is verified, and the loan amount is 16.5% of annual income, which is within acceptable limits. No exceptions or manual review triggers apply.",47496,415,661,4.5,821,7848,True,True,True,0.1049,2722.0,645,629,674
1,Applicant 1,run_0,SESL,MANUAL REVIEW,Credit score between 640 and 699,47496,415,661,4.5,821,7848,True,True,True,0.1049,2722.0,645,629,674
2,Applicant 2,run_0,GPT,MANUAL REVIEW,"The applicant's employment duration is less than one year, which typically results in a decline. However, the applicant has a high credit score of 721 and an income of £59,724, which qualifies for a manual review exception. Additionally, the bureau score spread is 91 points, which does not trigger a manual review by itself, but the employment duration requires further assessment.",59724,651,721,0.7,784,11894,True,True,True,0.1308,3542.0,687,778,707
2,Applicant 2,run_0,SESL,DECLINED,Employment less than 1 year,59724,651,721,0.7,784,11894,True,True,True,0.1308,3542.0,687,778,707
3,Applicant 3,run_0,GPT,APPROVED,"The applicant demonstrated strong affordability with a DTI of 5.54% and disposable income of £3423.42, both well within approval thresholds. Their credit score of 751 and consistent bureau scores indicate low credit risk. With stable employment history of 3 years and all documents verified, the application meets all approval criteria.",54329,251,751,3.0,853,17261,True,True,True,0.0554,3423.42,758,718,725
3,Applicant 3,run_0,SESL,APPROVED,All approval criteria met,54329,251,751,3.0,853,17261,True,True,True,0.0554,3423.42,758,718,725
4,Applicant 4,run_0,GPT,APPROVED,"The applicant meets all policy requirements for approval. The DTI ratio is 14.29%, which is well below the 35% threshold for strong repayment capacity. The disposable income is £3012.67, significantly above the £600 threshold for financial resilience. The credit score of 689 falls into the manual review range, but the applicant's strong affordability metrics and stable employment history of 3.1 years support approval. All documentation is verified, and the loan amount is 25.8% of annual income, which is within acceptable limits. Bureau scores are consistent with a spread of 36 points, which is below the 120-point threshold for inconsistency.",52736,628,689,3.1,754,13600,True,True,True,0.1429,3012.67,714,707,678
4,Applicant 4,run_0,SESL,MANUAL REVIEW,Credit score between 640 and 699,52736,628,689,3.1,754,13600,True,True,True,0.1429,3012.67,714,707,678
5,Applicant 5,run_0,GPT,DECLINED,"The applicant's bureau score of 541 is below the minimum threshold of 580, which indicates elevated risk and requires a decline. Additionally, the spread between the highest and lowest bureau scores is 62, which does not trigger a manual review, but the low score itself mandates a decline. No exceptions apply.",58007,1198,583,1.0,803,6754,True,True,True,0.2478,2832.92,569,541,603
5,Applicant 5,run_0,SESL,DECLINED,Credit score below 640,58007,1198,583,1.0,803,6754,True,True,True,0.2478,2832.92,569,541,603
6,Applicant 6,run_0,GPT,MANUAL REVIEW,"The applicant's credit score of 661 falls into the manual review range (640-699). Additionally, the bureau score spread is 62 points (636 to 698), which does not trigger a manual review by itself, but the credit score range does. All other criteria, including DTI ratio of 7% and disposable income of £3748.83, meet approval thresholds. However, due to the credit score, human judgment is required to assess overall creditworthiness.",64150,374,661,1.3,1223,22913,True,True,True,0.07,3748.83,636,698,683
6,Applicant 6,run_0,SESL,MANUAL REVIEW,Credit score between 640 and 699,64150,374,661,1.3,1223,22913,True,True,True,0.07,3748.83,636,698,683
